rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
108,19.7k,72.6,$17.0k,"20,334",autolist,2018,grand_cherokee,Sport,,,,{},,,6,['autolist'],ZACCJBAB1JPH18237,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBAB1JPH18237,,,
109,19.7k,72.8,$17.0k,"20,455",autolist,2018,grand_cherokee,Latitude,,,,{},,,4,['autolist'],ZACCJABB5JPJ51357,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB5JPJ51357,,,
110,19.7k,73.0,$16.5k,"35,573",autolist,2017,grand_cherokee,Sport,,,,{},,,6,"['auto_trader', 'autolist']",3C4NJDAB8HT628039,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJDAB8HT628039,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJDAB8HT628039,,
111,19.7k,74.1,$17.0k,"21,162",autolist,2019,grand_cherokee,Latitude,,,,{},,,3,['autolist'],ZACNJABBXKPJ87846,https://www.autolist.com/jeep-grand+cherokee#vin=ZACNJABBXKPJ87846,,,
112,19.7k,74.9,$17.0k,"21,801",autolist,2018,grand_cherokee,Sport,,,,{},,,3,['autolist'],3C4NJDAB5JT135392,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJDAB5JT135392,,,
113,19.7k,75.0,$17.0k,"22,420",autolist,2018,grand_cherokee,Sport,,,,{},,,0,['autolist'],ZACCJBAB8JPJ01091,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBAB8JPJ01091,,,
114,19.8k,75.6,$17.0k,"22,891",autolist,2014,grand_cherokee,Limited,,,,{},,,4,['autolist'],1C4PJMDS8EW201745,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMDS8EW201745,,,
115,19.8k,76.5,$16.0k,"54,205",autolist,2016,grand_cherokee,High Altitude,,,,{},,,10,['autolist'],1C4NJDEB2GD572226,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJDEB2GD572226,,,
116,19.8k,77.1,$17.0k,"24,341",autolist,2018,grand_cherokee,Sport,,,,{},,,4,['autolist'],ZACCJBAB9JPH94241,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBAB9JPH94241,,,
117,19.8k,77.3,$17.0k,"24,363",autolist,2017,grand_cherokee,Sport,,,,{},,,9,['autolist'],3C4NJCAB5HT672638,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCAB5HT672638,,,
118,19.8k,77.5,$16.0k,"54,640",autolist,2014,grand_cherokee,Laredo,,,,{},,,3,['autolist'],1C4RJEAG5EC276516,https://www.autolist.com/jeep-grand+cherokee#vin=1C4RJEAG5EC276516,,,
119,19.8k,78.4,$16.0k,"55,192",autolist,2017,grand_cherokee,Sport,,,,{},,,3,['autolist'],1C4PJLAB2HD221469,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB2HD221469,,,
120,19.9k,79.7,$16.5k,"41,588",autolist,2018,grand_cherokee,Latitude,,,,{},,,9,['autolist'],ZACCJBBB2JPH99909,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBB2JPH99909,,,
121,19.9k,81.4,$16.0k,"57,445",autolist,2016,grand_cherokee,Limited,,,,{},,,1,['autolist'],ZACCJADT8GPC77147,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJADT8GPC77147,,,
122,19.9k,82.2,$16.0k,"59,067",autolist,2016,grand_cherokee,Latitude,,,,{},,,6,['autolist'],ZACCJBBT0GPD16225,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBT0GPD16225,,,
123,20.0k,83.3,$16.0k,"59,857",autolist,2016,grand_cherokee,Latitude,,,,{},,,0,['autolist'],ZACCJABTXGPD52417,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABTXGPD52417,,,
124,20.0k,83.5,$17.0k,"29,409",autolist,2018,grand_cherokee,Sport,,,,{},,,8,['autolist'],3C4NJCAB6JT122936,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCAB6JT122936,,,
125,20.0k,85.2,$17.0k,"30,586",autolist,2017,grand_cherokee,Latitude,,,,{},,,4,['autolist'],1C4PJLCS6HW585671,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCS6HW585671,,,
126,20.0k,86.3,$17.0k,"50,461",autolist,2013,grand_cherokee,Laredo,rwd,gray,182,{},19778,14%,11,['autolist'],1C4RJEAG6DC573857,https://www.autolist.com/jeep-grand+cherokee#vin=1C4RJEAG6DC573857,,,
127,20.1k,86.5,$17.0k,"32,891",autolist,2019,grand_cherokee,Latitude Plus,,,,{},,,0,['autolist'],1C4PJLLB2KD296127,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLLB2KD296127,,,
128,20.1k,87.4,$17.0k,"33,451",autolist,2018,grand_cherokee,Latitude,,,,{},,,0,['autolist'],ZACCJABB1JPH71156,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB1JPH71156,,,
129,20.1k,87.6,$17.0k,"33,298",autolist,2017,grand_cherokee,Latitude,,,,{},,,9,['autolist'],1C4PJLCB5HW526613,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB5HW526613,,,
130,20.1k,87.8,$17.0k,"33,432",autolist,2015,grand_cherokee,Latitude,,,,{},,,9,['autolist'],1C4PJLCBXFW565937,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCBXFW565937,,,
131,20.1k,88.2,$16.2k,"57,827",autolist,2018,grand_cherokee,Latitude,,,,{},,,1,['autolist'],1C4PJLCB3JD622550,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB3JD622550,,,
132,20.1k,88.4,$17.0k,"34,041",autolist,2018,grand_cherokee,Latitude,,,,{},,,2,['autolist'],ZACCJBBB7JPH89134,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBB7JPH89134,,,
133,20.2k,89.5,$17.0k,"35,360",autolist,2018,grand_cherokee,Latitude,,,,{},,,0,['autolist'],ZACCJABB4JPJ71714,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB4JPJ71714,,,
134,20.2k,90.1,$17.0k,"36,391",autolist,2018,grand_cherokee,Latitude,,,,{},,,10,['autolist'],1C4PJLCB1JD511074,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB1JD511074,,,
135,20.2k,90.6,$17.0k,"36,876",autolist,2017,grand_cherokee,Sport,,,,{},,,1,['autolist'],ZACCJAAB9HPG08105,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAB9HPG08105,,,
136,20.2k,91.2,$17.0k,"37,539",autolist,2017,grand_cherokee,Sport,,,,{},,,1,['autolist'],ZACCJAAB1HPF88223,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAB1HPF88223,,,
137,20.2k,91.4,$17.0k,"37,863",autolist,2018,grand_cherokee,Latitude,,,,{},,,1,['autolist'],3C4NJCBBXJT228692,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCBBXJT228692,,,
138,20.3k,91.6,$17.0k,"38,796",autolist,2016,grand_cherokee,Latitude,,,,{},,,5,['autolist'],ZACCJBBT3GPE28517,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBT3GPE28517,,,
139,20.3k,91.7,$17.0k,"38,836",autolist,2018,grand_cherokee,Sport,,,,{},,,9,['autolist'],3C4NJCAB6JT133547,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCAB6JT133547,,,
140,20.3k,91.9,$17.0k,"38,869",autolist,2018,grand_cherokee,Latitude,,,,{},,,8,['autolist'],1C4PJLCB2JD545041,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB2JD545041,,,
141,20.3k,92.3,$17.0k,"40,086",autolist,2019,grand_cherokee,Latitude,,,,{},,,5,['autolist'],1C4PJLCB9KD300951,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB9KD300951,,,
142,20.4k,94.2,$16.7k,"51,734",autolist,2015,grand_cherokee,Limited,,,,{},,,40,['autolist'],1C4PJLDS5FW584667,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLDS5FW584667,,,
143,20.4k,94.6,$17.0k,"42,795",autolist,2018,grand_cherokee,Latitude,,,,{},,,6,['autolist'],1C4PJLCB1JD566883,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB1JD566883,,,
144,20.4k,94.7,$17.0k,"43,289",autolist,2017,grand_cherokee,Sport,,,,{},,,4,['autolist'],1C4PJMAB5HW595617,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMAB5HW595617,,,
145,20.5k,95.3,$17.0k,"46,758",autolist,2017,grand_cherokee,Sport,,,,{},,,3,['autolist'],1C4PJMAB7HW556155,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMAB7HW556155,,,
146,20.5k,95.5,$16.9k,"48,075",autolist,2015,grand_cherokee,Latitude,,,,{},,,0,['autolist'],1C4PJMCS3FW604745,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMCS3FW604745,,,
147,20.6k,95.9,$17.0k,"48,086",autolist,2018,grand_cherokee,Latitude,,,,{},,,6,"['auto_trader', 'autolist']",3C4NJCBB3JT466397,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCBB3JT466397,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB3JT466397,,
148,20.6k,96.2,$17.0k,"48,265",autolist,2015,grand_cherokee,Trailhawk,,,,{},,,3,['autolist'],ZACCJBCT3FPB39182,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBCT3FPB39182,,,
149,20.6k,96.8,$17.0k,"49,180",autolist,2017,grand_cherokee,High Altitude,,,,{},,,2,['autolist'],1C4NJRFB6HD178466,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJRFB6HD178466,,,
150,20.8k,98.3,$17.0k,"54,930",autolist,2015,grand_cherokee,Latitude,,,,{},,,10,['autolist'],1C4PJMCS2FW529410,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMCS2FW529410,,,
151,20.8k,98.5,$17.0k,"55,371",autolist,2013,grand_cherokee,Laredo,,,,{},,,7,['autolist'],1C4RJFAT2DC603326,https://www.autolist.com/jeep-grand+cherokee#vin=1C4RJFAT2DC603326,,,
152,20.8k,98.9,$16.9k,"58,730",autolist,2018,grand_cherokee,Latitude,,,,{},,,9,['autolist'],ZACCJABB2JPJ31437,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB2JPJ31437,,,
153,20.9k,99.1,$16.9k,"57,654",autolist,2014,grand_cherokee,Limited,,,,{},,,4,['autolist'],1C4PJMDS8EW110670,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMDS8EW110670,,,
154,20.9k,99.4,$17.0k,"57,190",autolist,2017,grand_cherokee,Sport,,,,{},,,10,['autolist'],1C4PJLAB2HW650874,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB2HW650874,,,
