rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
27,17.1k,18.9,$14.6k,"14,957",autolist,2016,grand_cherokee,Sport,,,,{},,,8,['autolist'],1C4NJPBA6GD787802,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBA6GD787802,,,
28,17.2k,19.5,$14.0k,"52,663",autolist,2011,grand_cherokee,Limited,2wd,white,68,{},20585,32%,14,['autolist'],1J4RS5GG4BC518089,https://www.autolist.com/jeep-grand+cherokee#vin=1J4RS5GG4BC518089,,,
29,17.2k,19.9,$13.5k,"50,762",autolist,2015,grand_cherokee,Sport,,,,{},,,7,['autolist'],1C4PJLAB1FW631164,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB1FW631164,,,
30,17.2k,20.3,$14.3k,"26,946",autolist,2018,grand_cherokee,Latitude,,,,{},,,3,['autolist'],ZACCJABB0JPG79553,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB0JPG79553,,,
31,17.2k,20.5,$16.3k,"49,725",autolist,2018,compass,FWD Latitude,fwd,gray,30,{},17441,7%,56,"['auto_trader', 'autolist']",3C4NJCBB5JT301130,https://www.autolist.com/jeep-compass#vin=3C4NJCBB5JT301130,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB5JT301130,,
32,17.2k,20.6,$16.9k,"31,509",autolist,2018,compass,Latitude,fwd,gray,63,{},18154,7%,43,['autolist'],3C4NJCBB2JT169671,https://www.autolist.com/jeep-compass#vin=3C4NJCBB2JT169671,,,
33,17.2k,21.4,$16.9k,"33,172",autolist,2019,compass,Limited,fwd,gray,29,{},17588,4%,27,['autolist'],3C4NJCCB8KT819488,https://www.autolist.com/jeep-compass#vin=3C4NJCCB8KT819488,,,
34,17.3k,22.0,$13.6k,"50,618",autolist,2016,grand_cherokee,Sport,,,,{},,,3,['autolist'],1C4NJPBA7GD628710,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBA7GD628710,,,
35,17.3k,22.1,$14.0k,"38,862",auto_trader,2017,grand_cherokee,Latitude,,,,{},,,31,['auto_trader'],1C4NJCEB9HD206596,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=1C4NJCEB9HD206596,,,
36,17.3k,22.7,$13.6k,"51,049",autolist,2016,grand_cherokee,Sport,,,,{},,,4,['autolist'],1C4NJPBB9GD576117,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBB9GD576117,,,
37,17.3k,22.9,$17.0k,"31,500",autolist,2018,compass,Latitude,fwd,gray,25,{},18131,6%,53,"['auto_trader', 'autolist']",3C4NJCBB6JT469391,https://www.autolist.com/jeep-compass#vin=3C4NJCBB6JT469391,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB6JT469391,,
38,17.3k,23.1,$17.0k,"52,780",autolist,2018,compass,Latitude,4x4,gray,2424,{},16249,-5%,43,['autolist'],3C4NJDBB3JT434345,https://www.autolist.com/jeep-compass#vin=3C4NJDBB3JT434345,,,
39,17.3k,23.6,$13.5k,"55,500",autolist,2012,grand_cherokee,Sport,,,,{},,,4,['autolist'],1C4PJMAK8CW215548,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMAK8CW215548,,,
40,17.4k,24.2,$14.0k,"41,097",autolist,2016,grand_cherokee,Sport,,,,{},,,26,['autolist'],1C4PJLAB7GW238156,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB7GW238156,,,
41,17.4k,25.0,$13.6k,"55,143",autolist,2015,grand_cherokee,Sport,,,,{},,,8,['autolist'],1C4NJRBB0FD424799,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJRBB0FD424799,,,
42,17.4k,25.5,$13.6k,"55,594",autolist,2016,grand_cherokee,Sport,,,,{},,,10,['autolist'],1C4NJPBA2GD735566,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBA2GD735566,,,
43,17.5k,26.6,$17.0k,"14,763",auto_trader,2018,compass,Latitude,,,,{},,,11,['auto_trader'],3C4NJCBB3JT466707,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB3JT466707,,,
44,17.5k,27.0,$14.6k,"26,757",autolist,2016,grand_cherokee,Sport,,,,{},,,0,['autolist'],ZACCJAAW9GPD19887,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAW9GPD19887,,,
45,17.6k,28.1,$16.5k,"33,329",autolist,2018,compass,Latitude,fwd,black,1637,{},18110,9%,18,['autolist'],3C4NJCBB0JT494724,https://www.autolist.com/jeep-compass#vin=3C4NJCBB0JT494724,,,
46,17.7k,28.9,$16.5k,"33,070",autolist,2019,compass,Limited,fwd,silver,1637,{},17720,7%,56,['autolist'],3C4NJCCB4KT664485,https://www.autolist.com/jeep-compass#vin=3C4NJCCB4KT664485,,,
47,17.7k,29.1,$16.3k,"54,289",autolist,2018,compass,Sport,4x4,blue,162,{'not_pictures': 2000},17157,5%,37,['autolist'],3C4NJDAB0JT434434,https://www.autolist.com/jeep-compass#vin=3C4NJDAB0JT434434,,,
48,17.7k,29.6,$17.0k,"26,819",autolist,2018,compass,Latitude,fwd,gray,1637,{},18796,10%,19,"['auto_trader', 'autolist']",3C4NJCBB4JT461547,https://www.autolist.com/jeep-compass#vin=3C4NJCBB4JT461547,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB4JT461547,,
49,17.8k,31.0,$13.9k,"55,754",autolist,2016,grand_cherokee,Latitude,,,,{},,,1,['autolist'],1C4PJLCB6GW135274,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB6GW135274,,,
50,17.8k,31.1,$16.5k,"38,551",autolist,2019,compass,FWD Sport w/ Tech Group,fwd,blue,69,{},17175,4%,56,"['auto_trader', 'autolist']",3C4NJCAB6KT615808,https://www.autolist.com/jeep-compass#vin=3C4NJCAB6KT615808,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCAB6KT615808,,
51,17.8k,31.3,$14.0k,"54,488",autolist,2016,grand_cherokee,Latitude,,,,{},,,6,['autolist'],1C4NJPFA3GD719600,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPFA3GD719600,,,
52,17.8k,31.7,$14.0k,"55,011",autolist,2016,grand_cherokee,Sport,,,,{},,,5,['autolist'],1C4NJCBA5GD743203,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJCBA5GD743203,,,
53,17.8k,32.8,$14.0k,"56,100",autolist,2015,grand_cherokee,Sport,,,,{},,,5,['autolist'],1C4PJLAB2FW732696,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB2FW732696,,,
54,17.9k,34.9,$17.0k,"32,671",autolist,2019,compass,Limited,fwd,gray,1637,{},17688,4%,56,['autolist'],3C4NJCCBXKT676172,https://www.autolist.com/jeep-compass#vin=3C4NJCCBXKT676172,,,
55,17.9k,35.3,$14.0k,"58,120",autolist,2014,grand_cherokee,Sport,,,,{},,,2,['autolist'],1C4PJLAB9EW313128,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB9EW313128,,,
56,17.9k,35.5,$14.8k,"34,194",autolist,2017,grand_cherokee,Sport,,,,{},,,8,['autolist'],1C4PJLAB4HW650620,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLAB4HW650620,,,
57,18.0k,36.6,$14.0k,"59,770",autolist,2016,grand_cherokee,Sport,,,,{},,,6,['autolist'],1C4NJCBAXGD574022,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJCBAXGD574022,,,
58,18.0k,37.0,$17.0k,"30,252",autolist,2019,compass,Limited,fwd,black,1637,{},18064,6%,43,['autolist'],3C4NJCCB9KT667253,https://www.autolist.com/jeep-compass#vin=3C4NJCCB9KT667253,,,
59,18.0k,37.7,$14.9k,"34,285",autolist,2016,grand_cherokee,Latitude,,,,{},,,5,['autolist'],ZACCJABT0GPE02936,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABT0GPE02936,,,
60,18.0k,38.1,$15.0k,"30,937",autolist,2017,grand_cherokee,Sport,,,,{},,,5,['autolist'],1C4NJPBA6HD134887,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBA6HD134887,,,
61,18.1k,39.2,$17.0k,"34,280",auto_trader,2019,compass,Limited,,,,{},,,8,['auto_trader'],3C4NJCCB7KT755783,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCCB7KT755783,,,
62,18.2k,39.8,$17.0k,"18,426",autolist,2018,compass,Latitude,fwd,blue,1637,{},19517,13%,38,"['auto_trader', 'autolist']",3C4NJCBB8JT461616,https://www.autolist.com/jeep-compass#vin=3C4NJCBB8JT461616,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB8JT461616,,
63,18.2k,40.0,$14.5k,"51,518",autolist,2016,grand_cherokee,Latitude,,,,{},,,2,['autolist'],ZACCJBBTXGPE38560,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBTXGPE38560,,,
64,18.2k,40.3,$15.0k,"37,416",autolist,2017,grand_cherokee,Sport,,,,{},,,2,['autolist'],1C4NJPBB2HD120946,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBB2HD120946,,,
65,18.5k,44.8,$15.4k,"33,520",autolist,2016,grand_cherokee,Sport,,,,{},,,4,['autolist'],ZACCJBAT6GPE19635,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBAT6GPE19635,,,
66,18.5k,45.4,$15.0k,"46,338",autolist,2015,grand_cherokee,Altitude Edition,,,,{},,,10,['autolist'],1C4NJPBA6FD397717,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJPBA6FD397717,,,
67,18.5k,46.0,$14.9k,"49,679",autolist,2015,grand_cherokee,Latitude,,,,{},,,1,['autolist'],1C4NJDEB5FD259184,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJDEB5FD259184,,,
68,18.5k,46.5,$15.0k,"47,187",autolist,2016,grand_cherokee,Sport,,,,{},,,0,['autolist'],ZACCJBAT8GPC78972,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBAT8GPC78972,,,
69,18.6k,47.1,$15.0k,"47,631",autolist,2017,grand_cherokee,Latitude,,,,{},,,6,['autolist'],ZACCJABB8HPF53175,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB8HPF53175,,,
70,18.6k,47.3,$15.0k,"48,048",autolist,2016,grand_cherokee,Latitude,,,,{},,,3,['autolist'],1C4PJLCB8GW217765,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB8GW217765,,,
71,18.6k,47.8,$15.0k,"49,566",autolist,2016,grand_cherokee,Sport,,,,{},,,0,['autolist'],ZACCJAAT8GPD09471,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAT8GPD09471,,,
72,18.7k,48.6,$16.0k,"20,284",autolist,2017,grand_cherokee,Sport,,,,{},,,1,['autolist'],ZACCJAAB4HPG15348,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAB4HPG15348,,,
73,18.7k,48.8,$15.0k,"50,814",autolist,2018,grand_cherokee,Latitude,,,,{},,,9,['autolist'],1C4PJLCB2JD596877,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB2JD596877,,,
74,18.7k,49.3,$15.0k,"51,597",autolist,2017,grand_cherokee,Latitude,,,,{},,,5,['autolist'],ZACCJABB2HPG24337,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJABB2HPG24337,,,
75,18.7k,49.5,$16.0k,"22,317",autolist,2018,grand_cherokee,Sport,,,,{},,,1,['autolist'],ZACCJAAB1JPG67929,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAB1JPG67929,,,
