rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
34,17.0k,21.1,$17.0k,"18,001",edmunds,2018,compass,Latitude,fwd,white,35,{},19767,14%,45,"['auto_trader', 'autolist', 'edmunds']",3C4NJCBB9JT441259,https://www.autolist.com/jeep-compass#vin=3C4NJCBB9JT441259,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB9JT441259,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB9JT441259/,
35,17.0k,21.4,$15.0k,"47,771",edmunds,2018,compass,Sport,fwd,blue,594,{},,,1,['edmunds'],3C4NJCAB8JT182684,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCAB8JT182684/,,,
36,17.0k,21.7,$17.0k,"50,947",edmunds,2018,compass,Latitude,4x4,black,1956,{},17757,4%,4,['edmunds'],3C4NJDBB0JT135881,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB0JT135881/,,,
37,17.2k,22.8,$14.0k,"52,663",autolist,2011,grand_cherokee,Limited,2wd,white,68,{},20585,32%,4,['autolist'],1J4RS5GG4BC518089,https://www.autolist.com/jeep-grand+cherokee#vin=1J4RS5GG4BC518089,,,
38,17.2k,23.4,$17.0k,"36,820",edmunds,2018,compass,Latitude,4x4,red,1956,{},17654,4%,4,['edmunds'],3C4NJDBB2JT253155,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB2JT253155/,,,
39,17.2k,23.6,$16.6k,"35,619",edmunds,2018,compass,Latitude,fwd,white,49,{},17849,7%,22,"['auto_trader', 'autolist', 'edmunds']",3C4NJCBB6JT165543,https://www.autolist.com/jeep-compass#vin=3C4NJCBB6JT165543,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB6JT165543,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJCBB6JT165543/,
40,17.2k,23.9,$16.9k,"52,780",edmunds,2018,compass,Latitude,4x4,gray,2424,{},16249,-4%,32,"['autolist', 'edmunds']",3C4NJDBB3JT434345,https://www.autolist.com/jeep-compass#vin=3C4NJDBB3JT434345,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB3JT434345/,,
41,17.2k,25.1,$16.9k,"33,172",edmunds,2019,compass,Limited,fwd,gray,29,{},17588,4%,16,"['autolist', 'edmunds']",3C4NJCCB8KT819488,https://www.autolist.com/jeep-compass#vin=3C4NJCCB8KT819488,https://www.edmunds.com/jeep/compass/2019/vin/3C4NJCCB8KT819488/,,
42,17.3k,26.5,$17.0k,"42,591",edmunds,2018,compass,Latitude,4x4,blue,1840,{},16228,-5%,4,['edmunds'],3C4NJDBB5JT201518,https://www.edmunds.com/jeep/compass/2018/vin/3C4NJDBB5JT201518/,,,
43,17.3k,26.8,$16.4k,"49,725",autolist,2018,compass,FWD Latitude,fwd,gray,30,{},17441,6%,45,"['auto_trader', 'autolist']",3C4NJCBB5JT301130,https://www.autolist.com/jeep-compass#vin=3C4NJCBB5JT301130,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB5JT301130,,
